order_number,date received,number of bracelets,number of necklaces,number of rings,number of anklets,number of earrings,SUM
1,6/25/2022,2,2,0,2,4,10
2,6/26/2022,2,0,2,2,2,8
3,6/27/2022,0,3,3,0,4,10
4,6/28/2022,2,0,4,0,0,6
5,6/29/2022,3,1,0,1,0,5
6,6/30/2022,2,0,2,2,2,8
7,7/1/2022,2,0,0,3,0,5
8,7/2/2022,1,3,0,3,0,7
9,7/3/2022,0,0,2,0,2,4
10,7/4/2022,2,0,2,2,2,8
11,7/5/2022,2,2,2,2,0,8
12,7/6/2022,1,1,1,1,2,6
13,7/7/2022,1,0,2,0,2,5
14,7/8/2022,2,2,2,0,4,10
15,7/9/2022,2,2,2,2,4,12
16,7/10/2022,1,2,2,0,0,5
17,7/11/2022,0,3,3,3,4,13
18,7/12/2022,1,4,1,1,2,9
19,7/13/2022,3,1,2,1,0,7
20,7/14/2022,3,4,0,2,2,11
21,7/15/2022,2,2,2,2,2,10
22,7/16/2022,2,1,4,2,4,13
23,7/17/2022,2,1,0,2,2,7
24,7/18/2022,2,2,0,2,0,6
25,7/19/2022,0,3,3,3,4,13
26,7/20/2022,0,3,3,3,0,9
27,7/21/2022,3,3,0,3,4,13
28,7/22/2022,0,2,2,2,2,8
29,7/23/2022,2,2,2,2,2,10
30,7/24/2022,0,0,3,0,0,3
31,7/25/2022,2,0,2,2,2,8
32,7/26/2022,3,1,0,3,4,11
33,7/27/2022,0,2,2,2,2,8
34,7/28/2022,3,0,3,3,0,9
35,7/29/2022,1,2,0,1,2,6
36,7/30/2022,0,0,0,4,0,4
37,7/31/2022,3,3,0,3,0,9
38,8/1/2022,3,0,3,3,0,9
39,8/2/2022,0,2,2,0,2,6
40,8/3/2022,2,2,0,2,0,6
